RIGOR,HS_GPA_12TH,HS_GPA_11TH,HS_GPA_10TH,HS_GPA_9TH,HS_GPA_ACAD,HS_GPA_WGT,SAT_MATH_AVG,SAT_READ_AVG,SAT_WRIT_AVG,ACT_COMP_AVG,ACT_MATH_AVG,ACT_ENG_AVG,ACT_READ_AVG,ACT_SCI_AVG,HOUR_MATH_HOMEWORK,HOUR_SCIENCE_HOMEWORK,HOUR_OTHER_HOMEWORK,CREDITS_APIB,CREDITS_AP_ENG,CREDITS_AP_MATH,CREDITS_AP_SCIENCE,CREDITS_AP_SOCIAL_SCIENCE,FRESHMAN_GPA,FRESHMAN_CREDITS_ATTEMPTED,FRESHMAN_CREDITS_EARNED,X5REMRAT,X5ENRATT
6,3.5,2.5,2.0,2.5,2.5,2.5,-9,-9,-9,20,20,19,20,19,2,-7,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
3,3.5,3.5,4.0,4.0,3.5,4.0,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,9.0,2.0,2.0,1.0,3.0,2.7,27,24,0.0,3
5,-1.0,-1.0,-1.0,-1.0,2.5,2.5,-9,-9,-9,-9,-9,-9,-9,-9,2,2,3,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
2,3.5,3.0,2.5,1.0,2.5,2.5,-6,-6,-6,-6,-6,-6,-6,-6,2,1,2,0.0,0.0,0.0,0.0,0.0,-7.0,0,0,0.1,5
3,3.5,2.5,2.5,2.5,2.5,2.5,450,420,420,-9,-9,-9,-9,-9,-8,-8,-8,0.0,0.0,0.0,0.0,0.0,3.2,27,27,0.0,15
6,2.5,1.5,0.5,1.0,1.5,1.5,-9,-9,-9,22,22,22,22,22,-8,-8,-8,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
6,4.0,3.5,4.0,4.0,4.0,4.0,510,500,490,20,20,19,21,20,2,1,3,1.0,0.0,0.0,1.0,0.0,-7.0,0,0,0.0,3
6,2.0,2.0,2.0,2.0,1.5,2.0,-9,-9,-9,20,20,19,20,19,1,2,2,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,-8,-8.0,-8
6,2.0,2.0,1.0,2.5,1.5,2.0,510,510,480,20,20,19,20,20,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0.0,1
1,3.0,3.5,3.0,3.5,3.0,3.5,450,440,450,19,-9,-9,-9,-9,2,-7,3,0.0,0.0,0.0,0.0,0.0,1.3,21,9,0.1,1
3,-1.0,-1.0,-1.0,-1.0,2.0,2.0,-9,-9,-9,-9,-9,-9,-9,-9,-7,1,2,0.0,0.0,0.0,0.0,0.0,0.2,17,1,0.2,1
1,3.0,3.5,2.5,3.0,3.0,3.0,490,500,490,23,22,23,23,23,2,2,4,1.0,1.0,0.0,0.0,0.0,2.4,14,14,0.0,11
1,2.5,2.5,2.5,2.5,2.5,2.5,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
6,-1.0,-1.0,-1.0,1.0,1.0,1.0,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
1,3.0,3.0,3.0,3.5,3.0,3.0,-9,-9,-9,19,18,19,19,19,2,-7,3,0.0,0.0,0.0,0.0,0.0,2.5,6,6,0.0,3
1,3.5,3.5,3.0,3.0,3.0,3.5,640,600,620,27,27,27,26,25,1,1,1,0.0,0.0,0.0,0.0,0.0,3.6,17,17,0.0,3
3,3.0,3.0,3.0,3.5,3.0,3.0,-9,-9,-9,-9,-9,-9,-9,-9,2,-7,2,0.0,0.0,0.0,0.0,0.0,-9.0,-9,-9,0.0,1
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8.0,-8.0,-8.0,-8.0,-8.0,3.7,17,17,0.1,3
3,3.0,2.5,2.0,2.5,2.5,2.5,620,580,-9,24,-9,-9,-9,-9,3,2,4,0.0,0.0,0.0,0.0,0.0,3.2,26,16,0.2,9
1,3.5,4.0,3.5,4.0,3.5,3.5,560,550,550,-9,25,24,26,24,2,1,2,0.0,0.0,0.0,0.0,0.0,2.6,27,21,0.0,11
6,2.0,1.5,1.5,2.0,1.5,2.0,510,500,470,22,22,21,22,22,1,1,1,0.0,0.0,0.0,0.0,0.0,3.0,36,32,0.1,1
6,0.5,1.5,1.5,1.5,0.5,1.5,-9,-9,-9,-9,-9,-9,-9,-9,2,-7,2,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
1,1.5,2.0,2.0,2.0,1.5,2.0,520,520,510,-9,-9,-9,-9,-9,2,2,3,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
3,3.0,2.0,2.5,1.5,2.0,2.5,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-6,-6,-6,-6,-6,-6,-6,-6,1,1,1,-8.0,-8.0,-8.0,-8.0,-8.0,-6.0,-6,-6,-6.0,-6
3,3.5,3.5,4.0,3.5,3.5,4.5,550,560,570,24,24,25,25,23,1,1,2,4.0,1.0,0.0,1.0,2.0,3.3,56,58,0.0,3
1,3.5,3.5,3.5,3.5,3.5,3.5,-9,-9,-9,22,-9,-9,-9,-9,3,2,2,0.0,0.0,0.0,0.0,0.0,2.7,30,27,0.0,3
3,3.5,3.5,3.5,3.5,3.5,3.5,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,0.0,0.0,0.0,0.0,0.0,2.9,31,31,0.0,3
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,480,480,490,-9,-9,-9,-9,-9,1,1,1,-8.0,-8.0,-8.0,-8.0,-8.0,-6.0,-6,-6,-6.0,-6
3,2.0,2.0,2.5,2.0,2.0,2.0,570,580,580,23,23,23,23,23,1,1,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
3,3.5,3.5,3.5,3.5,3.5,3.5,580,560,540,25,26,25,25,25,2,2,2,0.0,0.0,0.0,0.0,0.0,3.0,31,31,0.0,3
6,-1.0,-1.0,-1.0,-1.0,0.5,0.5,-9,-9,-9,-9,-9,-9,-9,-9,1,-7,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
1,4.0,3.5,4.0,4.0,4.0,4.5,550,540,530,-9,-9,-9,-9,-9,3,4,4,9.0,1.0,3.0,2.0,2.0,3.7,36,36,0.0,3
5,3.0,3.0,2.5,2.5,2.0,2.5,-9,-9,-9,21,20,20,22,21,1,1,1,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
6,2.5,2.5,3.0,3.0,2.5,3.0,-6,-6,-6,-6,-6,-6,-6,-6,1,1,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
3,2.5,3.0,2.5,3.0,2.5,3.0,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
6,2.0,2.5,2.5,2.5,2.0,2.5,-9,-9,-9,19,18,18,20,20,1,1,1,0.0,0.0,0.0,0.0,0.0,1.3,30,15,0.0,-9
6,4.0,3.5,3.5,3.5,3.5,4.0,-9,-9,-9,22,-9,-9,-9,-9,-7,1,1,3.0,2.0,0.0,1.0,0.0,3.1,28,28,0.0,3
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,560,500,-9,23,-9,-9,-9,-9,-9,-9,-9,-8.0,-8.0,-8.0,-8.0,-8.0,3.5,34,34,0.0,3
6,2.0,2.0,-1.0,1.5,1.5,1.5,510,500,480,21,-9,-9,-9,-9,2,-9,1,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
1,2.5,2.5,3.0,2.0,2.0,2.5,500,480,460,-9,-9,-9,-9,-9,1,1,1,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
1,1.5,1.5,2.5,2.0,2.0,2.0,-6,-6,-6,-6,-6,-6,-6,-6,5,5,5,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
3,3.5,4.0,3.5,4.0,3.5,4.5,-9,-9,-9,-9,-9,-9,-9,-9,1,-7,2,8.0,1.0,2.0,4.0,1.0,2.8,30,26,0.0,3
4,2.5,2.5,1.5,1.5,1.5,2.0,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,0.0,0.0,0.0,0.0,0.0,1.7,18,8,0.3,1
1,3.5,3.0,3.0,3.5,3.0,3.0,-6,-6,-6,-6,-6,-6,-6,-6,1,1,1,0.0,0.0,0.0,0.0,0.0,2.8,26,23,0.1,2
1,-1.0,1.5,1.5,1.5,1.5,1.5,500,500,470,21,20,20,21,21,-9,-9,-9,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,-8.0,-8.0,-8.0,-8.0,-8.0,2.8,11,8,0.0,1
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-9,-9,-9,-9,-9,-9,-9,-9,-7,-9,2,-8.0,-8.0,-8.0,-8.0,-8.0,1.8,27,14,0.0,1
3,3.0,3.0,3.5,3.5,3.0,4.0,500,500,500,19,19,19,19,19,2,2,2,4.0,2.0,0.0,1.0,1.0,2.6,20,16,0.2,2
5,3.5,3.5,3.5,3.5,3.5,3.5,-9,-9,-9,-9,-9,-9,-9,-9,2,1,3,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
3,4.0,4.0,4.0,4.0,4.0,4.5,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,10.0,2.0,2.0,2.0,3.0,-8.0,-8,-8,-8.0,-8
1,4.0,3.5,3.5,3.5,3.5,3.5,580,570,550,25,25,24,25,24,1,1,2,0.0,0.0,0.0,0.0,0.0,3.1,20,20,0.0,3
