X1SEX,X1RACE,X1HISPANIC,X1WHITE,X1BLACK,X1PAREDU,X1FAMINCOME,X1SES,X1POVERTY130,X1HHNUMBER,X2PAREDU,X2FAMINCOME,X2SES,X2POVERTY130,X2HHNUMBER,X1CONTROL,X1LOCALE,X1REGION,X1SCHOOLCLI,X2ENROLSTAT,X2ENRSTATSCH,X2NUMHS,X2EVERDROP,X2DROPSTAT,X1TXMTSCOR,X1TXMQUINT,X2TXMTSCOR,X2TXMQUINT,X3TGPATOT,HS_GPA_WGT,HS_GPA_ACAD,X3TGPASTEM,RIGOR,X3TCREDTOT,X3TCREDACAD,X3TCREDSTEM,CREDITS_APIB,X3TCREDADV,X3TCREDHON,X3TCREDMAT,X3TCREDSCI,X3TCREDENG,X3THIMATH,X3THISCI,X3T1CREDALG2,X3T1CREDCALC,X3T1CREDPHYS,X3T1CREDSTAT,X3TWHENALG1,X3HSCOMPSTAT,FRESHMAN_GPA,FRESHMAN_CREDITS_ATTEMPTED,FRESHMAN_CREDITS_EARNED,X5REMRAT,X5ENRATT
2,8,0,1,0,2,1,-1.1012,1,3,3,1,-0.9434,1,4,1,1,1,1.0,1,1,1,0,0,31.7241,1,47.8511,2,2.0,2.0,1.5,1.5,1,25.5,16.5,6.5,0.0,0.0,0.0,3.0,3.0,4.5,6,1,1,0,1,0,4,1,-7.0,0,0,0.0,1
2,8,0,1,0,-8,-8,-0.5433,-8,-8,4,5,0.2486,0,3,1,1,3,-0.64,1,1,1,0,0,38.5212,1,37.2593,1,2.5,2.5,2.5,3.0,1,36.0,17.0,11.5,0.0,1.0,0.0,4.0,3.0,4.0,8,1,1,0,0,0,4,1,4.0,40,40,0.0,5
1,8,0,1,0,4,6,0.9842,0,3,-8,-8,-8.0,-8,-8,1,2,3,-8.0,1,1,1,0,0,54.806,4,-8.0,-8,2.0,2.0,2.0,1.5,3,23.5,18.5,8.0,0.0,0.0,0.0,4.0,4.0,4.0,11,2,0,0,1,0,9,1,-8.0,-8,-8,-8.0,-8
2,6,0,1,0,2,3,-0.2606,0,4,2,2,-0.7542,0,4,1,1,4,-2.34,1,1,1,0,0,48.8039,3,49.0123,3,2.5,2.5,2.0,2.5,1,27.5,20.5,7.0,1.0,4.5,0.0,3.0,3.0,4.5,5,3,0,0,0,0,4,1,1.0,3,3,0.2,1
1,2,0,0,0,5,7,1.4132,0,4,7,8,1.4265,0,4,1,4,2,-9.0,2,2,2,0,0,69.24,5,74.592,5,3.5,3.5,3.5,3.5,6,29.0,23.0,13.5,3.0,4.0,2.0,4.0,8.0,3.5,13,5,0,1,1,0,9,1,3.9,32,32,0.0,3
2,8,0,1,0,2,1,-0.7901,1,4,3,1,-0.5568,1,4,1,3,2,-9.0,1,1,1,0,0,56.8163,4,48.5795,3,2.5,2.5,2.5,2.0,6,23.0,17.5,6.0,0.0,0.0,0.0,3.0,3.0,4.0,5,1,0,0,0,0,5,1,-7.0,0,0,0.0,-9
2,-9,-9,1,0,-8,-8,-8.0,-8,-8,6,4,0.7267,0,3,2,1,3,1.8,1,1,1,0,0,-8.0,-8,60.1523,5,2.0,2.0,2.0,1.5,1,26.5,24.5,9.0,0.0,0.0,0.0,4.0,4.0,5.5,9,2,1,0,0,1,4,1,0.0,14,0,0.2,1
2,2,0,0,0,4,6,0.5511,0,4,5,6,0.6046,0,4,2,2,1,1.25,1,1,1,0,0,54.9576,4,45.5784,2,3.0,3.5,3.0,2.5,1,32.0,20.0,8.5,3.0,3.0,11.5,5.0,3.0,4.0,11,2,1,0,0,0,4,1,-8.0,-8,-8,-8.0,-8
1,-9,-9,1,0,-8,-8,-8.0,-8,-8,5,12,0.7215,0,5,1,3,3,-0.73,1,1,1,0,0,-8.0,-8,55.4241,4,4.0,4.5,3.5,3.5,1,32.0,27.0,12.0,10.0,10.0,12.0,5.0,5.0,6.0,13,5,1,1,0,0,10,1,3.2,36,36,0.0,3
1,5,1,1,0,1,7,-0.0058,0,2,1,5,-0.1644,0,2,1,2,3,-0.83,1,7,1,0,0,55.0993,4,53.4362,4,2.5,2.5,2.5,2.5,1,27.0,21.5,8.0,0.0,0.0,7.5,4.0,3.0,7.5,8,1,1,0,0,0,4,1,-8.0,-8,-8,-8.0,-8
1,2,0,0,0,-8,-8,1.165,-8,-8,-8,-8,-8.0,-8,-8,1,2,2,-1.64,2,2,1,0,0,64.4295,5,-8.0,-8,3.0,3.0,3.0,3.5,1,26.0,21.5,7.5,0.0,0.0,0.0,3.0,4.0,4.0,8,1,0,0,1,0,10,1,3.6,34,34,0.2,3
1,6,0,1,0,2,2,-0.7022,1,8,2,2,-0.8429,1,6,1,2,2,-9.0,2,2,2,0,0,48.5401,3,56.7695,4,3.0,3.0,2.5,2.5,4,25.0,16.5,7.5,0.0,0.0,0.0,3.5,4.0,5.0,6,1,1,0,0,0,4,1,-6.0,-6,-6,-6.0,-6
1,5,1,1,0,-8,-8,-0.6763,-8,-8,2,2,-0.5922,1,4,1,2,3,0.24,1,1,1,0,0,49.8739,3,32.2622,1,2.5,2.5,2.0,2.0,3,26.0,21.5,8.0,1.0,1.0,5.0,4.0,4.0,4.0,8,2,1,0,1,0,4,1,2.3,19,17,0.1,1
2,8,0,1,0,2,4,-0.1112,0,5,2,4,-0.1856,0,6,1,2,2,-1.94,1,1,1,0,0,50.3536,3,55.6154,4,3.5,3.5,3.5,3.0,6,20.0,13.5,5.5,0.0,1.5,0.0,2.5,2.5,2.5,11,2,0,0,0,0,4,1,3.1,24,24,0.0,3
2,8,0,1,0,2,3,-0.5381,0,4,2,3,-0.646,0,3,1,2,3,-0.7,1,1,1,0,0,45.847,2,48.3718,3,1.5,1.5,1.5,1.5,6,23.0,14.0,7.0,0.0,0.0,0.0,3.0,3.0,5.0,5,2,0,0,0,0,4,1,-6.0,-6,-6,-6.0,-6
1,8,0,1,0,2,5,-0.3694,0,6,2,5,-0.1295,0,6,2,3,2,-0.23,1,1,1,0,0,43.6624,2,50.9818,3,2.0,2.0,1.5,1.5,6,32.0,16.5,9.0,0.0,0.0,0.0,3.0,4.5,3.0,6,2,1,0,1,0,10,1,2.1,21,19,0.0,5
1,2,0,0,0,1,1,-1.7526,1,7,4,2,-0.5215,0,3,1,2,3,-0.3,1,1,1,0,0,65.7365,5,65.9677,5,3.0,3.5,3.0,2.5,1,23.5,17.0,8.0,6.0,6.0,9.0,4.0,3.0,4.0,13,1,1,1,1,0,10,1,-7.0,0,0,0.0,3
